dataset,model,protocol,level,n_train_subjects,n_test_subjects,n_overlapping_subjects,overlap_fraction_of_test,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
kaggle:wave,efficientnet_b0,P1_image,image,,,,,3.0,0.5784313725490197,0.5784313725490196,0.3333333333333333,0.8235294117647058,0.44155844155844154,0.714725105728566,0.17996850826633903,0.5678509035382638,0.41640625000000003,0.7059436274509805,0.7051204239406931,0.5760541310541311,0.8186059736394558,0.33247101041408766,0.20825320512820514,0.4333974358974359,0.8057658469105344,0.5998809523809524,0.9243247694334651,,,,,,
kaggle:wave,efficientnet_b0,P1_image,subject,,,,,3.0,0.5714285714285714,0.5948717948717949,0.26666666666666666,0.9230769230769231,0.4,0.7794871794871795,0.2470788084188458,0.5753571428571429,0.39285714285714285,0.7151785714285717,0.7785443139883239,0.5333333333333333,0.9466577540106952,0.2572615925526142,0.06240808823529412,0.46676470588235297,0.9228526008520204,0.726948051948052,1.0,,,,,,
kaggle:wave,efficientnet_b0,P2_subject,image,,,,,3.0,0.5294117647058824,0.5294117647058824,0.4117647058823529,0.6470588235294118,0.4666666666666667,0.6124567474048443,0.060522753266880246,0.5269814471274838,0.2999404761904762,0.7426136363636364,0.5950582196928752,0.3281847982934939,0.8191131630593697,0.3951766405224683,0.11089743589743589,0.6364267676767676,0.6351182482846199,0.33240740740740743,0.889,,,,,,
kaggle:wave,efficientnet_b0,P2_subject,subject,,,,,3.0,0.42857142857142855,0.441025641025641,0.26666666666666666,0.6153846153846154,0.3333333333333333,0.5282051282051282,-0.1259541481785924,0.4241071428571429,0.25,0.6428571428571429,0.5291443627920436,0.3212133699633699,0.7700534759358288,0.2497279812335927,0.0,0.4675000000000002,0.6175667161785583,0.3333333333333333,0.9090909090909091,,,,,,
kaggle:wave,efficientnet_b0,leakage_probe,image,,,,,3.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.6021505376344086,0.3333333333333333,0.5686274509803921,0.5355632449058054,0.5686274509803921
kaggle:wave,vgg16,P1_image,image,,,,,4.0,0.7843137254901961,0.7843137254901961,0.8431372549019608,0.7254901960784313,0.7962962962962963,0.8327566320645905,0.5726039151671226,0.786080857679329,0.6785515873015874,0.8756740196078433,0.8291721941205116,0.7091390091390092,0.9195293209876544,0.8479560449647794,0.7,0.9744047619047619,0.7143620498949668,0.5183760683760683,0.8787878787878788,,,,,,
kaggle:wave,vgg16,P1_image,subject,,,,,4.0,0.7857142857142857,0.7743589743589744,0.9333333333333333,0.6153846153846154,0.8235294117647058,0.8256410256410256,0.5859606023960603,0.7880357142857143,0.6428571428571429,0.9285714285714286,0.8257038367710291,0.6918449197860963,0.9572471033868093,0.9311072187186739,0.7853021978021978,1.0,0.6220789687823357,0.3333333333333333,0.8891666666666667,,,,,,
kaggle:wave,vgg16,P2_subject,image,,,,,4.0,0.5980392156862745,0.5980392156862745,0.8627450980392157,0.3333333333333333,0.6821705426356589,0.6785851595540177,0.23112508176051216,0.5852672351050422,0.43711805555555555,0.760453869047619,0.6476380229498772,0.4011265432098765,0.846657848324515,0.8593171489324755,0.6666666666666666,0.9697299077733861,0.2761064161120825,0.0,0.6002173913043478,,,,,,
kaggle:wave,vgg16,P2_subject,subject,,,,,4.0,0.5,0.47692307692307695,0.8,0.15384615384615385,0.631578947368421,0.5435897435897437,-0.06010025069647601,0.4941071428571428,0.2857142857142857,0.6785714285714286,0.5369799717956438,0.3165705128205128,0.7813711564171123,0.7936083521097066,0.5830357142857143,1.0,0.14621336775109994,0.0,0.36363636363636365,,,,,,
kaggle:wave,vgg16,leakage_probe,image,,,,,4.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.7634408602150538,1.0,0.5198830409356725,0.6226120857699805,0.5392156862745098
